QID,Prediction
Q1,请问车跑公里，新车质保期之内，去4s店去进行维修，进行大修。
Q2,图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，图片，
Q3,气囊游丝，价格不贵。
Q4,分析发动机燃烧不好，需要检查发动机温度，水温高，需要检查发动机温度，发动机燃烧不好，需要检查发动机温度，水温高，需要检查发动机温度，发动机燃烧不好，需要检查
Q5,这种情况分析，建议检查轮胎动平衡问题，轮胎店检查轮胎动平衡问题，轮胎店检查轮胎动平衡问题，轮胎店检查轮胎动平衡问题，轮胎店检查轮胎动平衡问题，轮胎店检查
Q6,描述，情况，车子开空调系统问题，需要检查一下发动机是否存在问题，需要检查发动机是否存在问题，需要检查发动机是否存在问题，需要检查发动机是否存在问题，需要检查
Q7,需要添加防冻液添加防冻液。
Q8,图片上显示机油灯亮了，需要检查机油压力不足，需要检查机油压力不足，需要检查机油压力不足，需要检查机油压力不足，需要检查机油压力不足，需要检查机油压力不足
Q9,图片来看，轮胎花纹磨损，轮胎花纹磨损，轮胎花纹磨损，轮胎花纹磨损，轮胎花纹磨损，轮胎花纹磨损，轮胎花纹磨损，轮胎花纹磨损，轮胎花纹磨损，轮胎花纹
Q10,这种情况可能天气冷，时间长时间长，时间长，时间长，时间长，时间长，时间长，时间长，时间长，时间长，时间长，时间长，
Q11,描述，这种情况分析，描述，这种情况分析，描述，这种情况分析，描述，这种情况分析，描述，这种情况分析，描述，这种情况分析，描述，这种情况
Q12,这种情况，玻璃前风挡位置比较小，外界空气净化器比较小，外界空气净化器比较小，外界空气净化器比较小，外界空气净化器比较小，外界空气净化器比较小，外界
Q13,这种情况检查一下，是不是机油问题，这种情况检查一下，是不是机油问题，这种情况检查一下，是不是机油问题，这种情况检查一下，是不是机油问题，这种情况检查一下，是不是机油问题，这种
Q14,不会影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，影响，
Q15,不一定效果好，主要原因车辆喇叭音响关系，喇叭噪音比较好，主要原因，喇叭原因，主要原因车辆喇叭音响关系，喇叭噪音比较好，主要原因，喇叭原因，
Q16,图片来看，车辆喷漆处理，去4s店，建议去4s店，去4s店，去4s店，去4s店，去4s店，去4s店，去4s店，去4s店，去4s店，去4s店，
Q17,描述来说，发动机噪音比较好，发动机噪音比较好，发动机噪音比较好，发动机噪音小问题，发动机噪音比较好，发动机噪音比较好，发动机噪音比较好，发动机噪音
Q18,轮胎出现问题，需要更换，防止爆胎，不需要更换，防止爆胎，不需要更换，防止爆胎，不需要更换，防止爆胎，不需要更换，防止爆胎，不需要更换
Q19,一档档转速，转速不超转速，转速不超3000转，转速不超3000转，转速不超3000转，转速不超3000转，转速不超3000转，转速不超3000转，转速不超
Q20,这种情况下方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面方向盘下面
Q21,建议检查变速箱油更换变速箱油，变速箱油，变速箱油，变速箱油，变速箱油，变速箱油，变速箱油，变速箱油，变速箱油，变速箱油，变速箱油，变速箱油，
Q22,机油液位线，加上限位置，需要添加机油试试，需要添加机油试试，需要添加机油试试，需要添加机油试试，需要添加机油试试，需要添加机油试试，需要添加
Q23,检查一下开关坏，线路坏
Q24,这种情况需要电脑检测一下故障码，可能缺缸，建议先电脑检测一下故障码，可能缺缸，建议先电脑检测一下故障码，可能缺缸，建议先电脑检测一下故障码，可能缺缸
Q25,这款车点火线圈，点火线圈安装，找卖好
Q26,时间系统自动关闭，没有问题，时间系统自动关闭，没有问题，时间系统自动关闭，没有问题，时间系统自动关闭，没有问题，时间系统自动关闭，没有问题，
Q27,很高兴回答检查底盘有没有泄露
Q28,这种情况下时间系统自动关闭，没有办法关闭1.情况下时间系统自动关闭，没有办法关闭1.情况下时间系统自动关闭，没有办法关闭1.情况下时间系统
Q29,看，大约150左右，
Q30,提供图片显示，图片显示，图片显示，图片显示，图片显示，图片显示，图片显示，图片显示，图片显示，图片显示，图片显示，图片显示，图片显示，图片
Q31,提前提前提前做一次，现在不影响，发动机不影响。
Q32,分析诊断电脑检查一下遥控器电池车辆电瓶电量不足，需要检查一下遥控器电池车辆电瓶电量不足，需要检查一下遥控器电池车辆电瓶电量不足，需要检查一下遥控器电池车辆电瓶电量不足，需要检查一下遥控器
Q33,更换轮胎全部下来，更换新轮胎动平衡，轮胎全部下来，更换新轮胎动平衡，轮胎全部下来，更换新轮胎动平衡，轮胎全部下来，更换新轮胎动平衡，轮胎全部下来，
Q34,发动机故障灯，发动机故障灯亮，需要解码器读取故障记录，故障提示，需要解码器读取故障记录，故障提示，需要解码器读取故障记录，故障提示，需要解码器读取故障记录，
Q35,发动机故障灯亮了，检查一下刹车真空助力系统真空助力系统真空助力系统真空助力系统真空助力系统真空助力系统真空助力系统真空助力系统真空助力系统真空助力系统真空助力系统真空
Q36,这种情况下时间系统自动关闭1.建议去4s店进行检查，怠速不稳，建议去4s店进行检查，怠速不稳，建议去4s店进行检查，怠速不稳，建议去4s店进行检查
Q37,起步动力下降，动力下降，动力下降，动力下降，动力下降，动力下降，动力下降，动力下降，动力下降，动力下降，动力下降，动力下降，动力下降，动力
Q38,二手车二手车价格参考一下，大概需要更换。
Q39,建议去修理厂，贴膜，比较好，龙膜玻璃比较好，龙膜品牌，龙膜玻璃，龙膜，龙膜，龙膜，龙膜，龙膜，龙膜，龙膜，龙膜，龙膜，龙膜，
Q40,断开电瓶线拆下来，气枪吹干，气枪吹干，气枪吹干，气枪吹干，气枪吹干，气枪吹干，气枪吹干，气枪吹干，气枪吹干，气枪吹干，气枪吹干，气枪吹干
Q41,这种情况检查节气门，节气门，怠速马达，怠速运转，电脑控制电子节气门怠速马达，怠速运转，电脑控制电子节气门怠速马达，怠速运转，电脑控制电子节气门怠速马达，怠速
Q42,气门室盖垫不行，更换一下气门室盖垫
